feature,importance
num__length_of_stay_hours,0.11533683692104388
num__days_since_registration,0.07786415847464592
num__patient_prior_avg_los_hours,0.0740866822174823
num__age,0.06658619415109854
num__visit_week_of_year,0.05770995130094033
num__visit_day_of_week,0.04106071987901626
num__visit_month,0.03632478603031417
num__patient_prior_visit_count,0.03413045619390577
num__visit_quarter,0.01750709499928846
num__chronic_flag,0.016271388407152157
cat__gender_F,0.014361780697048049
cat__gender_M,0.013911224395354605
cat__visit_type_ICU,0.013481834268559095
cat__visit_type_ER,0.013342479521370599
cat__insurance_provider_CareOne,0.01242827495649803
cat__insurance_provider_HealthPlus,0.012244177721792367
cat__insurance_provider_MediCareX,0.01204038665763096
cat__visit_type_OPD,0.012010710656792356
cat__age_band_36-50,0.011947321798556083
cat__insurance_provider_SecureLife,0.011758436691933218
num__visit_before_registration_flag,0.01170065158435014
num__visit_is_weekend,0.011039708367680253
cat__department_Cardiology,0.010850635540866235
cat__age_band_18-35,0.01075042245879015
cat__city_Bangalore,0.010274602194597936
cat__department_ER,0.009915634171579688
cat__age_band_51-65,0.009543661194647028
cat__city_Delhi,0.009296706176685791
cat__city_Pune,0.009253641842410367
cat__city_Mumbai,0.009213330529848976
cat__city_Hyderabad,0.009117106179846488
cat__department_General,0.008896969065861158
cat__department_Orthopedics,0.00878594587017521
cat__department_ICU,0.008686544339089403
cat__city_Chennai,0.008405826169155715
cat__department_Neurology,0.00833871617708038
num__patient_prior_avg_los_missing_flag,0.008325679533719236
cat__age_band_66+,0.007172098101590625
cat__age_band_0-17,0.004377524837683145
cat__doctor_id_198,0.003037895886370081
