feature,importance,explainability_type
num__billed_amount,0.1838519844761188,random_forest_impurity_importance
num__days_since_registration,0.0507234305226171,random_forest_impurity_importance
num__provider_prior_rejection_rate,0.0504113515645539,random_forest_impurity_importance
num__length_of_stay_hours,0.0500023556380198,random_forest_impurity_importance
num__provider_prior_claim_count,0.049045465088311,random_forest_impurity_importance
num__billing_lag_days,0.0472457957527667,random_forest_impurity_importance
num__patient_prior_avg_los_hours,0.0452292885559641,random_forest_impurity_importance
num__age,0.0441842737779434,random_forest_impurity_importance
num__visit_week_of_year,0.0371593881624597,random_forest_impurity_importance
num__high_billed_amount_flag,0.0279551491937641,random_forest_impurity_importance
num__billing_day_of_week,0.0252965751082946,random_forest_impurity_importance
num__visit_day_of_week,0.0251382480846127,random_forest_impurity_importance
num__billing_month,0.0238707398007863,random_forest_impurity_importance
num__visit_month,0.0232065798744697,random_forest_impurity_importance
num__patient_prior_visit_count,0.0226422361331224,random_forest_impurity_importance
num__visit_quarter,0.011353399681606,random_forest_impurity_importance
num__chronic_flag,0.0095308461394452,random_forest_impurity_importance
num__billed_amount_outlier_flag,0.0086270196856172,random_forest_impurity_importance
cat__gender_F,0.0085423513155479,random_forest_impurity_importance
cat__gender_M,0.0078698928849728,random_forest_impurity_importance
